t[i]	area	sgcmfluxint	sghmfluxint	sglmfluxint	trcmfluxint	trhmfluxint	trlmfluxint	mflux_sg_tot	mflux_tr_tot	alphaint/area
1.000000e-01	1.955433e-03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
2.000000e-01	1.955433e-03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
3.000000e-01	1.955433e-03	5.657964e-35	1.153180e-32	8.688585e-36	3.316792e-34	2.917454e-32	1.302523e-35	1.159707e-32	2.951924e-32	1.000000e+00
4.000000e-01	1.955433e-03	3.008094e-25	3.044215e-23	1.117677e-26	1.603466e-24	8.919293e-23	1.886567e-26	3.075414e-23	9.081527e-23	1.000000e+00
5.000000e-01	1.955433e-03	3.860426e-18	3.016723e-16	8.513179e-20	1.748439e-17	8.386853e-16	1.448039e-19	3.056178e-16	8.563145e-16	1.000000e+00
6.000000e-01	1.955433e-03	2.622515e-13	1.839909e-11	4.854347e-15	1.013619e-12	4.617107e-11	7.724192e-15	1.866620e-11	4.719241e-11	1.000000e+00
7.000000e-01	1.955433e-03	1.560903e-11	9.992016e-10	2.538953e-13	5.019504e-11	2.185985e-09	3.648644e-13	1.015065e-09	2.236545e-09	1.000000e+00
8.000000e-01	1.955433e-03	4.543242e-11	2.753719e-09	6.898236e-13	1.246909e-10	5.317208e-09	9.030918e-13	2.799841e-09	5.442802e-09	1.000000e+00
9.000000e-01	1.955433e-03	1.397667e-10	6.980836e-09	2.529470e-12	4.588909e-10	1.468578e-08	3.783525e-12	7.123132e-09	1.514845e-08	1.000000e+00
1.000000e+00	1.955433e-03	2.532449e-09	7.504794e-08	5.783140e-11	8.957172e-09	1.700360e-07	9.118702e-11	7.763822e-08	1.790844e-07	1.000000e+00
1.100000e+00	1.955433e-03	1.626700e-08	3.707711e-07	4.362009e-10	5.134026e-08	7.624119e-07	6.421667e-10	3.874743e-07	8.143943e-07	1.000000e+00
1.200000e+00	1.955433e-03	4.603962e-08	8.603245e-07	1.512503e-09	1.338816e-07	1.612135e-06	2.116623e-09	9.078766e-07	1.748133e-06	1.000000e+00
1.300000e+00	1.955433e-03	1.187029e-07	1.822825e-06	4.550938e-09	3.294026e-07	3.211085e-06	6.157734e-09	1.946079e-06	3.546646e-06	1.000000e+00
1.400000e+00	1.955433e-03	2.579399e-07	3.076751e-06	1.087598e-08	7.110029e-07	5.237634e-06	1.477670e-08	3.345567e-06	5.963414e-06	1.000000e+00
1.500000e+00	1.955433e-03	6.858487e-07	5.226028e-06	3.190262e-08	2.023451e-06	9.003132e-06	4.623581e-08	5.943780e-06	1.107282e-05	1.000000e+00
1.600000e+00	1.955433e-03	1.142605e-06	6.839464e-06	5.283976e-08	3.154598e-06	1.127130e-05	7.402418e-08	8.034908e-06	1.449992e-05	1.000000e+00
1.700000e+00	1.955433e-03	1.864828e-06	8.216779e-06	8.807496e-08	5.099992e-06	1.324675e-05	1.247276e-07	1.016968e-05	1.847147e-05	1.000000e+00
1.800000e+00	1.955433e-03	2.979545e-06	9.271658e-06	1.449294e-07	8.100424e-06	1.481419e-05	2.080450e-07	1.239613e-05	2.312266e-05	1.000000e+00
1.900000e+00	1.955433e-03	4.399286e-06	9.709488e-06	2.245498e-07	1.205792e-05	1.551182e-05	3.300702e-07	1.433332e-05	2.789981e-05	1.000000e+00
2.000000e+00	1.955433e-03	5.877461e-06	9.640809e-06	3.198837e-07	1.633720e-05	1.542519e-05	4.845125e-07	1.583815e-05	3.224690e-05	1.000000e+00
2.100000e+00	1.955433e-03	7.598986e-06	9.772240e-06	4.507086e-07	2.134768e-05	1.566031e-05	7.077697e-07	1.782193e-05	3.771576e-05	1.000000e+00
2.200000e+00	1.955433e-03	8.858826e-06	9.394617e-06	6.029891e-07	2.542026e-05	1.506543e-05	1.003519e-06	1.885643e-05	4.148921e-05	1.000000e+00
2.300000e+00	1.955433e-03	1.033202e-05	9.246572e-06	8.083658e-07	2.966980e-05	1.465444e-05	1.390358e-06	2.038696e-05	4.571460e-05	1.000000e+00
2.400000e+00	1.955433e-03	1.101971e-05	8.720347e-06	1.025694e-06	3.193266e-05	1.386099e-05	1.848515e-06	2.076575e-05	4.764216e-05	1.000000e+00
2.500000e+00	1.955433e-03	1.121162e-05	8.188019e-06	1.254005e-06	3.164765e-05	1.286918e-05	2.325596e-06	2.065364e-05	4.684242e-05	1.000000e+00
2.600000e+00	1.955433e-03	1.119989e-05	8.087443e-06	1.608657e-06	3.123868e-05	1.283823e-05	3.155844e-06	2.089599e-05	4.723276e-05	1.000000e+00
2.700000e+00	1.955433e-03	1.073766e-05	7.971700e-06	1.991323e-06	2.916517e-05	1.261177e-05	4.086644e-06	2.070068e-05	4.586359e-05	1.000000e+00
2.800000e+00	1.955433e-03	1.029918e-05	8.059085e-06	2.349119e-06	2.777668e-05	1.280429e-05	5.033602e-06	2.070739e-05	4.561458e-05	1.000000e+00
2.900000e+00	1.955433e-03	9.478884e-06	7.737126e-06	2.636684e-06	2.550544e-05	1.228898e-05	5.900259e-06	1.985269e-05	4.369469e-05	1.000000e+00
3.000000e+00	1.955433e-03	9.349971e-06	7.825011e-06	3.086262e-06	2.493083e-05	1.239010e-05	7.147645e-06	2.026124e-05	4.446858e-05	1.000000e+00
