t[i]	area	sgcmfluxint	sghmfluxint	sglmfluxint	trcmfluxint	trhmfluxint	trlmfluxint	mflux_sg_tot	mflux_tr_tot	alphaint/area
1.000000e-01	1.955433e-03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
2.000000e-01	1.955433e-03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
3.000000e-01	1.955433e-03	1.166941e-33	1.452400e-31	7.548055e-35	7.431208e-33	4.395358e-31	1.138305e-34	1.464825e-31	4.470809e-31	1.000000e+00
4.000000e-01	1.955433e-03	3.662588e-24	2.500390e-22	9.339412e-26	2.026050e-23	7.705944e-22	1.494344e-25	2.537950e-22	7.910043e-22	1.000000e+00
5.000000e-01	1.955433e-03	3.454151e-17	1.773535e-15	5.787311e-19	1.614480e-16	5.084028e-15	9.224887e-19	1.808656e-15	5.246399e-15	1.000000e+00
6.000000e-01	1.955433e-03	2.171320e-12	9.977120e-11	3.126073e-14	8.611220e-12	2.562211e-10	4.684333e-14	1.019738e-10	2.648791e-10	1.000000e+00
7.000000e-01	1.955433e-03	1.233666e-10	5.312045e-09	1.611926e-12	4.034442e-10	1.183444e-08	2.182395e-12	5.437023e-09	1.224007e-08	1.000000e+00
8.000000e-01	1.955433e-03	3.487535e-10	1.437388e-08	4.232715e-12	9.598342e-10	2.802797e-08	5.189021e-12	1.472686e-08	2.899299e-08	1.000000e+00
9.000000e-01	1.955433e-03	4.582877e-10	1.872036e-08	5.509430e-12	1.112365e-09	3.316671e-08	6.377379e-12	1.918415e-08	3.428546e-08	1.000000e+00
1.000000e+00	1.955433e-03	7.006183e-10	3.071554e-08	1.256394e-11	1.954676e-09	5.942094e-08	1.718052e-11	3.142872e-08	6.139280e-08	1.000000e+00
1.100000e+00	1.955433e-03	2.539639e-09	9.932546e-08	7.043402e-11	7.973594e-09	2.005489e-07	1.009598e-10	1.019355e-07	2.086235e-07	1.000000e+00
1.200000e+00	1.955433e-03	1.534155e-08	4.577674e-07	6.157440e-10	4.788752e-08	8.746758e-07	8.672875e-10	4.737247e-07	9.234306e-07	1.000000e+00
1.300000e+00	1.955433e-03	5.350306e-08	1.257907e-06	2.430471e-09	1.603949e-07	2.267653e-06	3.355064e-09	1.313841e-06	2.431403e-06	1.000000e+00
1.400000e+00	1.955433e-03	1.814118e-07	2.937187e-06	8.567217e-09	5.366779e-07	5.128035e-06	1.194264e-08	3.127166e-06	5.676655e-06	1.000000e+00
1.500000e+00	1.955433e-03	5.038124e-07	5.410373e-06	2.364450e-08	1.448130e-06	9.158100e-06	3.308814e-08	5.937830e-06	1.063932e-05	1.000000e+00
1.600000e+00	1.955433e-03	1.151186e-06	8.162246e-06	5.323774e-08	3.194425e-06	1.345971e-05	7.444075e-08	9.366670e-06	1.672858e-05	1.000000e+00
1.700000e+00	1.955433e-03	2.208937e-06	1.039433e-05	1.014939e-07	6.007189e-06	1.678859e-05	1.434849e-07	1.270476e-05	2.293927e-05	1.000000e+00
1.800000e+00	1.955433e-03	3.958623e-06	1.199834e-05	1.857295e-07	1.074449e-05	1.918828e-05	2.693050e-07	1.614269e-05	3.020208e-05	1.000000e+00
1.900000e+00	1.955433e-03	5.860644e-06	1.206697e-05	2.858653e-07	1.570179e-05	1.904527e-05	4.211266e-07	1.821348e-05	3.516818e-05	1.000000e+00
2.000000e+00	1.955433e-03	7.839769e-06	1.159161e-05	4.102774e-07	2.094661e-05	1.829942e-05	6.179776e-07	1.984166e-05	3.986401e-05	1.000000e+00
2.100000e+00	1.955433e-03	9.343089e-06	1.086958e-05	5.335531e-07	2.454121e-05	1.707570e-05	8.133892e-07	2.074622e-05	4.243029e-05	1.000000e+00
2.200000e+00	1.955433e-03	1.097824e-05	1.058682e-05	7.325654e-07	2.901665e-05	1.678967e-05	1.163041e-06	2.229763e-05	4.696936e-05	1.000000e+00
2.300000e+00	1.955433e-03	1.216710e-05	1.029578e-05	9.423445e-07	3.141861e-05	1.619918e-05	1.510103e-06	2.340523e-05	4.912789e-05	1.000000e+00
2.400000e+00	1.955433e-03	1.283959e-05	9.885113e-06	1.226556e-06	3.298339e-05	1.554692e-05	2.051814e-06	2.395126e-05	5.058213e-05	1.000000e+00
2.500000e+00	1.955433e-03	1.325370e-05	9.414610e-06	1.558660e-06	3.317872e-05	1.457916e-05	2.655016e-06	2.422697e-05	5.041289e-05	1.000000e+00
2.600000e+00	1.955433e-03	1.340143e-05	8.884150e-06	2.017967e-06	3.307433e-05	1.364198e-05	3.560734e-06	2.430355e-05	5.027705e-05	1.000000e+00
2.700000e+00	1.955433e-03	1.254775e-05	7.926316e-06	2.491549e-06	3.073954e-05	1.216913e-05	4.591977e-06	2.296562e-05	4.750065e-05	1.000000e+00
2.800000e+00	1.955433e-03	1.180877e-05	7.442121e-06	3.066040e-06	2.873018e-05	1.149958e-05	5.884585e-06	2.231693e-05	4.611435e-05	1.000000e+00
2.900000e+00	1.955433e-03	1.043469e-05	6.920155e-06	3.525421e-06	2.553453e-05	1.087363e-05	7.081005e-06	2.088026e-05	4.348916e-05	1.000000e+00
3.000000e+00	1.955433e-03	9.602101e-06	6.994843e-06	3.996870e-06	2.378936e-05	1.120426e-05	8.333881e-06	2.059381e-05	4.332749e-05	1.000000e+00
