t[i]	area	sgcmfluxint	sghmfluxint	sglmfluxint	trcmfluxint	trhmfluxint	trlmfluxint	mflux_sg_tot	mflux_tr_tot	alphaint/area
1.000000e-01	1.955433e-03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
2.000000e-01	1.955433e-03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
3.000000e-01	1.955433e-03	3.696688e-33	2.325919e-31	1.155008e-35	8.086642e-33	7.203742e-31	6.597183e-35	2.363002e-31	7.285268e-31	1.000000e+00
4.000000e-01	1.955433e-03	9.737418e-24	4.496264e-22	1.910615e-26	2.204794e-23	1.390282e-21	9.557781e-26	4.593829e-22	1.412425e-21	1.000000e+00
5.000000e-01	1.955433e-03	7.896323e-17	3.183847e-15	1.347465e-19	1.678626e-16	9.130624e-15	5.765501e-19	3.262945e-15	9.299063e-15	1.000000e+00
6.000000e-01	1.955433e-03	4.527712e-12	1.775355e-10	7.816363e-15	8.747926e-12	4.563227e-10	2.859455e-14	1.820710e-10	4.650992e-10	1.000000e+00
7.000000e-01	1.955433e-03	2.367847e-10	9.407538e-09	4.338667e-13	4.057429e-10	2.097367e-08	1.322537e-12	9.644757e-09	2.138073e-08	1.000000e+00
8.000000e-01	1.955433e-03	6.323482e-10	2.555556e-08	1.219917e-12	9.670139e-10	4.985876e-08	3.155044e-12	2.618913e-08	5.082893e-08	1.000000e+00
9.000000e-01	1.955433e-03	7.367317e-10	3.037178e-08	1.490791e-12	1.016981e-09	5.289152e-08	3.385336e-12	3.111000e-08	5.391188e-08	1.000000e+00
1.000000e+00	1.955433e-03	7.157819e-10	3.076026e-08	1.582663e-12	9.429877e-10	5.251592e-08	3.686939e-12	3.147762e-08	5.346259e-08	1.000000e+00
1.100000e+00	1.955433e-03	1.073515e-09	4.564179e-08	3.089293e-12	1.463304e-09	8.418426e-08	8.948160e-12	4.671840e-08	8.565652e-08	1.000000e+00
1.200000e+00	1.955433e-03	7.773729e-09	2.546970e-07	3.831880e-11	1.099818e-08	5.099819e-07	1.311083e-10	2.625090e-07	5.211112e-07	1.000000e+00
1.300000e+00	1.955433e-03	3.307481e-08	8.356039e-07	2.042735e-10	4.636218e-08	1.611978e-06	6.863900e-10	8.688830e-07	1.659027e-06	1.000000e+00
1.400000e+00	1.955433e-03	1.321863e-07	2.545367e-06	9.660099e-10	1.814638e-07	4.714255e-06	3.022081e-09	2.678519e-06	4.898741e-06	1.000000e+00
1.500000e+00	1.955433e-03	3.273948e-07	4.615459e-06	2.863701e-09	4.549269e-07	8.197591e-06	8.689103e-09	4.945717e-06	8.661207e-06	1.000000e+00
1.600000e+00	1.955433e-03	9.317083e-07	8.401088e-06	1.003217e-08	1.329980e-06	1.471917e-05	2.943424e-08	9.342829e-06	1.607859e-05	1.000000e+00
1.700000e+00	1.955433e-03	1.896155e-06	1.112943e-05	2.520242e-08	2.782354e-06	1.908593e-05	7.256027e-08	1.305079e-05	2.194084e-05	1.000000e+00
1.800000e+00	1.955433e-03	3.288115e-06	1.230914e-05	5.403770e-08	5.010509e-06	2.074735e-05	1.546928e-07	1.565129e-05	2.591255e-05	1.000000e+00
1.900000e+00	1.955433e-03	5.174966e-06	1.256553e-05	1.031792e-07	8.233109e-06	2.104198e-05	2.971142e-07	1.784367e-05	2.957221e-05	1.000000e+00
2.000000e+00	1.955433e-03	7.251504e-06	1.174558e-05	1.734821e-07	1.193272e-05	1.975689e-05	4.968187e-07	1.917056e-05	3.218643e-05	1.000000e+00
2.100000e+00	1.955433e-03	9.365094e-06	1.121738e-05	2.639100e-07	1.567665e-05	1.881818e-05	7.461820e-07	2.084639e-05	3.524102e-05	1.000000e+00
2.200000e+00	1.955433e-03	1.186399e-05	1.100510e-05	3.993124e-07	2.031112e-05	1.856439e-05	1.131338e-06	2.326840e-05	4.000685e-05	1.000000e+00
2.300000e+00	1.955433e-03	1.381719e-05	1.040264e-05	5.657804e-07	2.408984e-05	1.749633e-05	1.622217e-06	2.478561e-05	4.320838e-05	1.000000e+00
2.400000e+00	1.955433e-03	1.532447e-05	9.838650e-06	7.778946e-07	2.687587e-05	1.647184e-05	2.235277e-06	2.594102e-05	4.558299e-05	1.000000e+00
2.500000e+00	1.955433e-03	1.591508e-05	9.308187e-06	1.030378e-06	2.795282e-05	1.558686e-05	3.021273e-06	2.625364e-05	4.656096e-05	1.000000e+00
2.600000e+00	1.955433e-03	1.566218e-05	8.688732e-06	1.278921e-06	2.719225e-05	1.446108e-05	3.716577e-06	2.562983e-05	4.536990e-05	1.000000e+00
2.700000e+00	1.955433e-03	1.535214e-05	8.368338e-06	1.585350e-06	2.637851e-05	1.385073e-05	4.638604e-06	2.530583e-05	4.486784e-05	1.000000e+00
2.800000e+00	1.955433e-03	1.411522e-05	7.643619e-06	1.852417e-06	2.418114e-05	1.263650e-05	5.537578e-06	2.361126e-05	4.235522e-05	1.000000e+00
2.900000e+00	1.955433e-03	1.346277e-05	7.350709e-06	2.202244e-06	2.324277e-05	1.230480e-05	6.823751e-06	2.301572e-05	4.237133e-05	1.000000e+00
3.000000e+00	1.955433e-03	1.233096e-05	6.937337e-06	2.405313e-06	2.130999e-05	1.170598e-05	7.574457e-06	2.167361e-05	4.059043e-05	1.000000e+00
