t[i]	area	sgcmfluxint	sghmfluxint	sglmfluxint	trcmfluxint	trhmfluxint	trlmfluxint	mflux_sg_tot	mflux_tr_tot	alphaint/area
1.000000e-01	1.955433e-03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
2.000000e-01	1.955433e-03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	7.734414e-43	0.000000e+00	0.000000e+00	7.734414e-43	1.000000e+00
3.000000e-01	1.955433e-03	2.671615e-35	1.038737e-33	8.920379e-38	2.255405e-34	6.219598e-33	1.426233e-37	1.065542e-33	6.445281e-33	1.000000e+00
4.000000e-01	1.955433e-03	3.045473e-28	8.191666e-26	1.227813e-28	1.435201e-27	1.472497e-25	1.514478e-28	8.234399e-26	1.488364e-25	1.000000e+00
5.000000e-01	1.955433e-03	7.644540e-21	2.105027e-18	2.108903e-21	2.823249e-20	3.549213e-18	2.779168e-21	2.114780e-18	3.580225e-18	1.000000e+00
6.000000e-01	1.955433e-03	4.719926e-14	3.495814e-12	1.848183e-15	2.161609e-13	8.637433e-12	3.108324e-15	3.544861e-12	8.856702e-12	1.000000e+00
7.000000e-01	1.955433e-03	3.796138e-11	1.649541e-09	8.886417e-13	1.543059e-10	4.045013e-09	1.504094e-12	1.688391e-09	4.200823e-09	1.000000e+00
8.000000e-01	1.955433e-03	5.553395e-10	1.648091e-08	1.098405e-11	2.036314e-09	3.838240e-08	1.789772e-11	1.704724e-08	4.043661e-08	1.000000e+00
9.000000e-01	1.955433e-03	4.195375e-09	9.070631e-08	8.112350e-11	1.381102e-08	1.977121e-07	1.246168e-10	9.498281e-08	2.116478e-07	1.000000e+00
1.000000e+00	1.955433e-03	1.490390e-08	2.597732e-07	3.030390e-10	4.520528e-08	5.313734e-07	4.431550e-10	2.749801e-07	5.770218e-07	1.000000e+00
1.100000e+00	1.955433e-03	4.390522e-08	6.013778e-07	1.012283e-09	1.275299e-07	1.178520e-06	1.451997e-09	6.462953e-07	1.307502e-06	1.000000e+00
1.200000e+00	1.955433e-03	1.066794e-07	1.158615e-06	2.971655e-09	2.993720e-07	2.168019e-06	4.199321e-09	1.268266e-06	2.471590e-06	1.000000e+00
1.300000e+00	1.955433e-03	1.935460e-07	1.755816e-06	6.213387e-09	5.237005e-07	3.128549e-06	8.586312e-09	1.955576e-06	3.660836e-06	1.000000e+00
1.400000e+00	1.955433e-03	3.203566e-07	2.427096e-06	1.205925e-08	8.647572e-07	4.196448e-06	1.662499e-08	2.759512e-06	5.077830e-06	1.000000e+00
1.500000e+00	1.955433e-03	4.766672e-07	3.078010e-06	2.005012e-08	1.274372e-06	5.152726e-06	2.744694e-08	3.574727e-06	6.454545e-06	1.000000e+00
1.600000e+00	1.955433e-03	6.639998e-07	3.696720e-06	3.064396e-08	1.787919e-06	6.085514e-06	4.213355e-08	4.391363e-06	7.915567e-06	1.000000e+00
1.700000e+00	1.955433e-03	9.208201e-07	4.327629e-06	4.667216e-08	2.570596e-06	7.114201e-06	6.598654e-08	5.295121e-06	9.750784e-06	1.000000e+00
1.800000e+00	1.955433e-03	1.342736e-06	5.106381e-06	7.304618e-08	3.947571e-06	8.473687e-06	1.078162e-07	6.522164e-06	1.252907e-05	1.000000e+00
1.900000e+00	1.955433e-03	1.594795e-06	5.364702e-06	9.070566e-08	4.837591e-06	8.963886e-06	1.377373e-07	7.050203e-06	1.393922e-05	1.000000e+00
2.000000e+00	1.955433e-03	2.097771e-06	5.628765e-06	1.256259e-07	6.739721e-06	9.600527e-06	2.013270e-07	7.852162e-06	1.654158e-05	1.000000e+00
2.100000e+00	1.955433e-03	2.278417e-06	6.079043e-06	1.367238e-07	7.111320e-06	1.035852e-05	2.144755e-07	8.494184e-06	1.768432e-05	1.000000e+00
2.200000e+00	1.955433e-03	2.661754e-06	6.499395e-06	1.636577e-07	8.464628e-06	1.123686e-05	2.626864e-07	9.324807e-06	1.996417e-05	1.000000e+00
2.300000e+00	1.955433e-03	3.462694e-06	6.981372e-06	2.216441e-07	1.112401e-05	1.215720e-05	3.654039e-07	1.066571e-05	2.364662e-05	1.000000e+00
2.400000e+00	1.955433e-03	4.488891e-06	7.697938e-06	2.943655e-07	1.418246e-05	1.335600e-05	4.878550e-07	1.248119e-05	2.802631e-05	1.000000e+00
2.500000e+00	1.955433e-03	5.415658e-06	7.850561e-06	3.824977e-07	1.720003e-05	1.357105e-05	6.541831e-07	1.364872e-05	3.142526e-05	1.000000e+00
2.600000e+00	1.955433e-03	6.240811e-06	8.122069e-06	4.538201e-07	1.966693e-05	1.407398e-05	7.790397e-07	1.481670e-05	3.451996e-05	1.000000e+00
2.700000e+00	1.955433e-03	7.331652e-06	8.394749e-06	6.001016e-07	2.286809e-05	1.434825e-05	1.059330e-06	1.632650e-05	3.827567e-05	1.000000e+00
2.800000e+00	1.955433e-03	8.171661e-06	8.625616e-06	7.376690e-07	2.570334e-05	1.490349e-05	1.340351e-06	1.753495e-05	4.194717e-05	1.000000e+00
2.900000e+00	1.955433e-03	9.007873e-06	9.022560e-06	8.910244e-07	2.772079e-05	1.551568e-05	1.622255e-06	1.892146e-05	4.485872e-05	1.000000e+00
3.000000e+00	1.955433e-03	9.546652e-06	9.161451e-06	1.052449e-06	2.829323e-05	1.544794e-05	1.910355e-06	1.976055e-05	4.565152e-05	1.000000e+00
3.100000e+00	1.955433e-03	1.028666e-05	9.348412e-06	1.253820e-06	2.986733e-05	1.556660e-05	2.276136e-06	2.088890e-05	4.771007e-05	1.000000e+00
3.200000e+00	1.955433e-03	1.093521e-05	9.288110e-06	1.516070e-06	3.102079e-05	1.522839e-05	2.765818e-06	2.173939e-05	4.901500e-05	1.000000e+00
3.300000e+00	1.955433e-03	1.129745e-05	9.096217e-06	1.798187e-06	3.156588e-05	1.484222e-05	3.307402e-06	2.219186e-05	4.971550e-05	1.000000e+00
3.400000e+00	1.955433e-03	1.154630e-05	9.012862e-06	2.167217e-06	3.186540e-05	1.469730e-05	4.068590e-06	2.272638e-05	5.063128e-05	1.000000e+00
3.500000e+00	1.955433e-03	1.150515e-05	8.668672e-06	2.494703e-06	3.140634e-05	1.411112e-05	4.710387e-06	2.266852e-05	5.022785e-05	1.000000e+00
3.600000e+00	1.955433e-03	1.196621e-05	8.814628e-06	2.877201e-06	3.188853e-05	1.420765e-05	5.393960e-06	2.365804e-05	5.149014e-05	1.000000e+00
3.700000e+00	1.955433e-03	1.155334e-05	8.578899e-06	3.172967e-06	3.058004e-05	1.387769e-05	6.037886e-06	2.330521e-05	5.049562e-05	1.000000e+00
3.800000e+00	1.955433e-03	1.145362e-05	8.492903e-06	3.547499e-06	3.053873e-05	1.381003e-05	6.853380e-06	2.349402e-05	5.120214e-05	1.000000e+00
3.900000e+00	1.955433e-03	1.083250e-05	8.197477e-06	3.759551e-06	2.885421e-05	1.339878e-05	7.312379e-06	2.278953e-05	4.956537e-05	1.000000e+00
4.000000e+00	1.955433e-03	1.033370e-05	7.900858e-06	3.958337e-06	2.712287e-05	1.279966e-05	7.631301e-06	2.219290e-05	4.755383e-05	1.000000e+00
4.100000e+00	1.955433e-03	1.009752e-05	7.811244e-06	4.266931e-06	2.652680e-05	1.269777e-05	8.282573e-06	2.217570e-05	4.750715e-05	1.000000e+00
4.200000e+00	1.955433e-03	1.022627e-05	8.001666e-06	4.714519e-06	2.671361e-05	1.298495e-05	9.143150e-06	2.294245e-05	4.884171e-05	1.000000e+00
4.300000e+00	1.955433e-03	1.011683e-05	8.017328e-06	5.056386e-06	2.629435e-05	1.299511e-05	9.787920e-06	2.319054e-05	4.907738e-05	1.000000e+00
4.400000e+00	1.955433e-03	9.704378e-06	7.874610e-06	5.094005e-06	2.541297e-05	1.286196e-05	9.910718e-06	2.267299e-05	4.818565e-05	1.000000e+00
4.500000e+00	1.955433e-03	9.501463e-06	7.791292e-06	5.113288e-06	2.540594e-05	1.286968e-05	1.008107e-05	2.240604e-05	4.835669e-05	1.000000e+00
4.600000e+00	1.955433e-03	9.305482e-06	7.751889e-06	5.092875e-06	2.391277e-05	1.249389e-05	9.756057e-06	2.215025e-05	4.616271e-05	1.000000e+00
4.700000e+00	1.955433e-03	9.471505e-06	8.017574e-06	5.256708e-06	2.448545e-05	1.296812e-05	1.010826e-05	2.274579e-05	4.756183e-05	1.000000e+00
4.800000e+00	1.955433e-03	9.460743e-06	8.144734e-06	5.237955e-06	2.462995e-05	1.326115e-05	1.008446e-05	2.284343e-05	4.797556e-05	1.000000e+00
4.900000e+00	1.955433e-03	9.667726e-06	8.281535e-06	5.469006e-06	2.501207e-05	1.340741e-05	1.051072e-05	2.341827e-05	4.893020e-05	1.000000e+00
5.000000e+00	1.955433e-03	9.825646e-06	8.349104e-06	5.594490e-06	2.541168e-05	1.351826e-05	1.066585e-05	2.376924e-05	4.959579e-05	1.000000e+00
5.100000e+00	1.955433e-03	1.002604e-05	8.513744e-06	5.519974e-06	2.620837e-05	1.389815e-05	1.049189e-05	2.405975e-05	5.059842e-05	1.000000e+00
5.200000e+00	1.955433e-03	9.792828e-06	8.300666e-06	5.237776e-06	2.573073e-05	1.358468e-05	9.962286e-06	2.333127e-05	4.927770e-05	1.000000e+00
5.300000e+00	1.955433e-03	9.697017e-06	8.224320e-06	5.243086e-06	2.564264e-05	1.346874e-05	1.006421e-05	2.316442e-05	4.917560e-05	1.000000e+00
5.400000e+00	1.955433e-03	9.940420e-06	8.333804e-06	5.366003e-06	2.648247e-05	1.366141e-05	1.030605e-05	2.364023e-05	5.044993e-05	1.000000e+00
5.500000e+00	1.955433e-03	9.630702e-06	8.097254e-06	5.142196e-06	2.539914e-05	1.319832e-05	9.755357e-06	2.287015e-05	4.835281e-05	1.000000e+00
5.600000e+00	1.955433e-03	9.523535e-06	8.097120e-06	5.095330e-06	2.523296e-05	1.326862e-05	9.683827e-06	2.271598e-05	4.818541e-05	1.000000e+00
5.700000e+00	1.955433e-03	9.423448e-06	7.994391e-06	5.093043e-06	2.507683e-05	1.315939e-05	9.690981e-06	2.251088e-05	4.792720e-05	1.000000e+00
5.800000e+00	1.955433e-03	9.592129e-06	8.000543e-06	5.195410e-06	2.549760e-05	1.317543e-05	9.845087e-06	2.278808e-05	4.851811e-05	1.000000e+00
5.900000e+00	1.955433e-03	9.841106e-06	7.962018e-06	5.343420e-06	2.608969e-05	1.309923e-05	1.010470e-05	2.314654e-05	4.929362e-05	1.000000e+00
6.000000e+00	1.955433e-03	9.487725e-06	7.630138e-06	5.152388e-06	2.538082e-05	1.264847e-05	9.783818e-06	2.227025e-05	4.781311e-05	1.000000e+00
6.100000e+00	1.955433e-03	9.574459e-06	7.657366e-06	5.232130e-06	2.528235e-05	1.256638e-05	9.840566e-06	2.246396e-05	4.768930e-05	1.000000e+00
6.200000e+00	1.955433e-03	9.649594e-06	7.872671e-06	5.428159e-06	2.537035e-05	1.288275e-05	1.022996e-05	2.295042e-05	4.848307e-05	1.000000e+00
6.300000e+00	1.955433e-03	9.773551e-06	8.111140e-06	5.620509e-06	2.522193e-05	1.308839e-05	1.044948e-05	2.350520e-05	4.875981e-05	1.000000e+00
6.400000e+00	1.955433e-03	9.664848e-06	8.366184e-06	5.580686e-06	2.503919e-05	1.356659e-05	1.037502e-05	2.361172e-05	4.898080e-05	1.000000e+00
6.500000e+00	1.955433e-03	9.517672e-06	8.550949e-06	5.488813e-06	2.477398e-05	1.388521e-05	1.022792e-05	2.355743e-05	4.888710e-05	1.000000e+00
6.600000e+00	1.955433e-03	9.182577e-06	8.347410e-06	5.389246e-06	2.388378e-05	1.348608e-05	1.008910e-05	2.291923e-05	4.745896e-05	1.000000e+00
6.700000e+00	1.955433e-03	9.608056e-06	8.527459e-06	5.748399e-06	2.522754e-05	1.379500e-05	1.084021e-05	2.388391e-05	4.986275e-05	1.000000e+00
6.800000e+00	1.955433e-03	9.615850e-06	8.153819e-06	5.625045e-06	2.530026e-05	1.319684e-05	1.056976e-05	2.339471e-05	4.906687e-05	1.000000e+00
6.900000e+00	1.955433e-03	9.644995e-06	7.891060e-06	5.607851e-06	2.542965e-05	1.280454e-05	1.056430e-05	2.314391e-05	4.879849e-05	1.000000e+00
7.000000e+00	1.955433e-03	9.796323e-06	7.752617e-06	5.723077e-06	2.605205e-05	1.264905e-05	1.085124e-05	2.327202e-05	4.955235e-05	1.000000e+00
7.100000e+00	1.955433e-03	9.647129e-06	7.634395e-06	5.539780e-06	2.558463e-05	1.248333e-05	1.042246e-05	2.282130e-05	4.849042e-05	1.000000e+00
7.200000e+00	1.955433e-03	9.891282e-06	7.802937e-06	5.783426e-06	2.606636e-05	1.268764e-05	1.088700e-05	2.347765e-05	4.964100e-05	1.000000e+00
7.300000e+00	1.955433e-03	9.650697e-06	7.964322e-06	5.752348e-06	2.538683e-05	1.300613e-05	1.082042e-05	2.336737e-05	4.921337e-05	1.000000e+00
7.400000e+00	1.955433e-03	9.327523e-06	8.392290e-06	5.520619e-06	2.471396e-05	1.384887e-05	1.040746e-05	2.324043e-05	4.897029e-05	1.000000e+00
7.500000e+00	1.955433e-03	8.791869e-06	8.357405e-06	5.200331e-06	2.343467e-05	1.376176e-05	9.842499e-06	2.234961e-05	4.703893e-05	1.000000e+00
7.600000e+00	1.955433e-03	9.019032e-06	8.590020e-06	5.285932e-06	2.425930e-05	1.413969e-05	1.002803e-05	2.289498e-05	4.842702e-05	1.000000e+00
7.700000e+00	1.955433e-03	9.075818e-06	8.417680e-06	5.255456e-06	2.462570e-05	1.390037e-05	1.001743e-05	2.274895e-05	4.854350e-05	1.000000e+00
7.800000e+00	1.955433e-03	9.440699e-06	8.407316e-06	5.382008e-06	2.511650e-05	1.370497e-05	1.013541e-05	2.323002e-05	4.895688e-05	1.000000e+00
7.900000e+00	1.955433e-03	9.731588e-06	8.246149e-06	5.498343e-06	2.595204e-05	1.345794e-05	1.037259e-05	2.347608e-05	4.978256e-05	1.000000e+00
8.000000e+00	1.955433e-03	9.855591e-06	8.152747e-06	5.467628e-06	2.621507e-05	1.334481e-05	1.026153e-05	2.347597e-05	4.982141e-05	1.000000e+00
8.100000e+00	1.955433e-03	9.437148e-06	7.754720e-06	5.235737e-06	2.502501e-05	1.270923e-05	9.826025e-06	2.242760e-05	4.756026e-05	1.000000e+00
8.200000e+00	1.955433e-03	9.411726e-06	7.692793e-06	5.426402e-06	2.507104e-05	1.268005e-05	1.029240e-05	2.253092e-05	4.804349e-05	1.000000e+00
8.300000e+00	1.955433e-03	9.393207e-06	7.706997e-06	5.468871e-06	2.459794e-05	1.262643e-05	1.022298e-05	2.256908e-05	4.744735e-05	1.000000e+00
8.400000e+00	1.955433e-03	9.349073e-06	7.844475e-06	5.440263e-06	2.481365e-05	1.305226e-05	1.023300e-05	2.263381e-05	4.809891e-05	1.000000e+00
8.500000e+00	1.955433e-03	9.255331e-06	7.820022e-06	5.288168e-06	2.500922e-05	1.319849e-05	1.004960e-05	2.236352e-05	4.825731e-05	1.000000e+00
8.600000e+00	1.955433e-03	9.452554e-06	7.986756e-06	5.414805e-06	2.623592e-05	1.371919e-05	1.053621e-05	2.285412e-05	5.049131e-05	1.000000e+00
8.700000e+00	1.955433e-03	9.904067e-06	8.202424e-06	5.692398e-06	2.608398e-05	1.357282e-05	1.067719e-05	2.379889e-05	5.033398e-05	1.000000e+00
8.800000e+00	1.955433e-03	9.917648e-06	8.286795e-06	5.629866e-06	2.496256e-05	1.333318e-05	1.016948e-05	2.383431e-05	4.846522e-05	1.000000e+00
8.900000e+00	1.955433e-03	9.452820e-06	8.170097e-06	5.397696e-06	2.431235e-05	1.335336e-05	9.913500e-06	2.302061e-05	4.757921e-05	1.000000e+00
9.000000e+00	1.955433e-03	9.138127e-06	8.131783e-06	5.233878e-06	2.409223e-05	1.350591e-05	9.762757e-06	2.250379e-05	4.736090e-05	1.000000e+00
9.100000e+00	1.955433e-03	9.042787e-06	8.193251e-06	5.197977e-06	2.355097e-05	1.350721e-05	9.628816e-06	2.243402e-05	4.668699e-05	1.000000e+00
9.200000e+00	1.955433e-03	9.186870e-06	8.380101e-06	5.315206e-06	2.379897e-05	1.379996e-05	9.832037e-06	2.288218e-05	4.743097e-05	1.000000e+00
9.300000e+00	1.955433e-03	9.604751e-06	8.384542e-06	5.433466e-06	2.530481e-05	1.388527e-05	1.014636e-05	2.342276e-05	4.933643e-05	1.000000e+00
9.400000e+00	1.955433e-03	1.014011e-05	8.405202e-06	5.558793e-06	2.616608e-05	1.371531e-05	1.022877e-05	2.410410e-05	5.011016e-05	1.000000e+00
9.500000e+00	1.955433e-03	1.015571e-05	8.171520e-06	5.511873e-06	2.649289e-05	1.344021e-05	1.025852e-05	2.383911e-05	5.019162e-05	1.000000e+00
9.600000e+00	1.955433e-03	1.034918e-05	8.161222e-06	5.656791e-06	2.654590e-05	1.327638e-05	1.043961e-05	2.416719e-05	5.026189e-05	1.000000e+00
9.700000e+00	1.955433e-03	1.018584e-05	8.001884e-06	5.780058e-06	2.582825e-05	1.289748e-05	1.062177e-05	2.396778e-05	4.934750e-05	1.000000e+00
9.800000e+00	1.955433e-03	9.382696e-06	7.555609e-06	5.484518e-06	2.418235e-05	1.230685e-05	1.017940e-05	2.242282e-05	4.666860e-05	1.000000e+00
9.900000e+00	1.955433e-03	8.963585e-06	7.443689e-06	5.391230e-06	2.349443e-05	1.228217e-05	1.010440e-05	2.179850e-05	4.588100e-05	1.000000e+00
1.000000e+01	1.955433e-03	9.039257e-06	7.706906e-06	5.569287e-06	2.346198e-05	1.263147e-05	1.036678e-05	2.231545e-05	4.646024e-05	1.000000e+00
1.010000e+01	1.955433e-03	8.755109e-06	7.592696e-06	5.553543e-06	2.295735e-05	1.252964e-05	1.041400e-05	2.190135e-05	4.590099e-05	1.000000e+00
1.020000e+01	1.955433e-03	8.418892e-06	7.479826e-06	5.323390e-06	2.234720e-05	1.246299e-05	1.005118e-05	2.122211e-05	4.486138e-05	1.000000e+00
1.030000e+01	1.955433e-03	8.700691e-06	7.719257e-06	5.478406e-06	2.258436e-05	1.264066e-05	1.018075e-05	2.189835e-05	4.540577e-05	1.000000e+00
1.040000e+01	1.955433e-03	8.658887e-06	7.734041e-06	5.418894e-06	2.238921e-05	1.266900e-05	1.003896e-05	2.181182e-05	4.509717e-05	1.000000e+00
1.050000e+01	1.955433e-03	8.730246e-06	7.885046e-06	5.317859e-06	2.272065e-05	1.301928e-05	9.859907e-06	2.193315e-05	4.559984e-05	1.000000e+00
1.060000e+01	1.955433e-03	9.104653e-06	8.086738e-06	5.292654e-06	2.410323e-05	1.348063e-05	9.884320e-06	2.248405e-05	4.746818e-05	1.000000e+00
1.070000e+01	1.955433e-03	9.191342e-06	7.993527e-06	5.095550e-06	2.458050e-05	1.342472e-05	9.550922e-06	2.228042e-05	4.755614e-05	1.000000e+00
1.080000e+01	1.955433e-03	9.532982e-06	8.014725e-06	5.162806e-06	2.546458e-05	1.347399e-05	9.702062e-06	2.271051e-05	4.864063e-05	1.000000e+00
1.090000e+01	1.955433e-03	9.906756e-06	8.068631e-06	5.408439e-06	2.579497e-05	1.334791e-05	1.005314e-05	2.338383e-05	4.919602e-05	1.000000e+00
1.100000e+01	1.955433e-03	1.025917e-05	8.310368e-06	5.603727e-06	2.653527e-05	1.372748e-05	1.036206e-05	2.417326e-05	5.062481e-05	1.000000e+00
1.110000e+01	1.955433e-03	1.026897e-05	8.412589e-06	5.636378e-06	2.576046e-05	1.364413e-05	1.021791e-05	2.431793e-05	4.962250e-05	1.000000e+00
1.120000e+01	1.955433e-03	9.879284e-06	8.436510e-06	5.541909e-06	2.480391e-05	1.370940e-05	1.010957e-05	2.385770e-05	4.862288e-05	1.000000e+00
1.130000e+01	1.955433e-03	9.246610e-06	8.148164e-06	5.317162e-06	2.376323e-05	1.342814e-05	9.869656e-06	2.271194e-05	4.706103e-05	1.000000e+00
1.140000e+01	1.955433e-03	9.065300e-06	8.194557e-06	5.306746e-06	2.384810e-05	1.371604e-05	1.001598e-05	2.256660e-05	4.758011e-05	1.000000e+00
1.150000e+01	1.955433e-03	9.318736e-06	8.308624e-06	5.572245e-06	2.386439e-05	1.357100e-05	1.032532e-05	2.319960e-05	4.776071e-05	1.000000e+00
1.160000e+01	1.955433e-03	9.542341e-06	8.407171e-06	5.640121e-06	2.434372e-05	1.367685e-05	1.036974e-05	2.358963e-05	4.839031e-05	1.000000e+00
1.170000e+01	1.955433e-03	1.000269e-05	8.587057e-06	5.823106e-06	2.569320e-05	1.394876e-05	1.077089e-05	2.441285e-05	5.041285e-05	1.000000e+00
1.180000e+01	1.955433e-03	1.012645e-05	8.436859e-06	5.744261e-06	2.595879e-05	1.363952e-05	1.056075e-05	2.430757e-05	5.015906e-05	1.000000e+00
1.190000e+01	1.955433e-03	9.759527e-06	8.002657e-06	5.331828e-06	2.514456e-05	1.297873e-05	9.801110e-06	2.309401e-05	4.792441e-05	1.000000e+00
1.200000e+01	1.955433e-03	9.526207e-06	7.700348e-06	5.142454e-06	2.462762e-05	1.252595e-05	9.477503e-06	2.236901e-05	4.663107e-05	1.000000e+00
1.210000e+01	1.955433e-03	9.609692e-06	7.620795e-06	5.251896e-06	2.513792e-05	1.252108e-05	9.769770e-06	2.248238e-05	4.742877e-05	1.000000e+00
