t[i]	area	sgcmfluxint	sghmfluxint	sglmfluxint	trcmfluxint	trhmfluxint	trlmfluxint	mflux_sg_tot	mflux_tr_tot	alphaint/area
1.000000e-01	1.955433e-03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
2.000000e-01	1.955433e-03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.172151e-43	0.000000e+00	0.000000e+00	5.172151e-43	1.000000e+00
3.000000e-01	1.955433e-03	2.371977e-35	7.380094e-34	7.674754e-39	1.326860e-34	5.382151e-33	5.375561e-38	7.617369e-34	5.514891e-33	1.000000e+00
4.000000e-01	1.955433e-03	3.484758e-28	4.358111e-26	9.921764e-30	8.004844e-28	1.182689e-25	5.126981e-29	4.393950e-26	1.191206e-25	1.000000e+00
5.000000e-01	1.955433e-03	8.901320e-21	1.158674e-18	2.131026e-22	1.521317e-20	2.862924e-18	9.670398e-22	1.167789e-18	2.879105e-18	1.000000e+00
6.000000e-01	1.955433e-03	4.659185e-14	2.403151e-12	2.412396e-16	1.194468e-13	8.109230e-12	1.175309e-15	2.449984e-12	8.229852e-12	1.000000e+00
7.000000e-01	1.955433e-03	3.453239e-11	1.273995e-09	1.386851e-13	8.521356e-11	4.063819e-09	5.974461e-13	1.308666e-09	4.149630e-09	1.000000e+00
8.000000e-01	1.955433e-03	4.721571e-10	1.352677e-08	1.889688e-12	1.099483e-09	3.986018e-08	7.326806e-12	1.400081e-08	4.096699e-08	1.000000e+00
9.000000e-01	1.955433e-03	3.373692e-09	7.774366e-08	1.504354e-11	7.285575e-09	2.102472e-07	5.251202e-11	8.113240e-08	2.175853e-07	1.000000e+00
1.000000e+00	1.955433e-03	1.151047e-08	2.275323e-07	5.926299e-11	2.332610e-08	5.708781e-07	1.915205e-10	2.391021e-07	5.943957e-07	1.000000e+00
1.100000e+00	1.955433e-03	3.311561e-08	5.364428e-07	2.107864e-10	6.454196e-08	1.283666e-06	6.636351e-10	5.697692e-07	1.348872e-06	1.000000e+00
1.200000e+00	1.955433e-03	8.015480e-08	1.048325e-06	6.750140e-10	1.505120e-07	2.398640e-06	2.100928e-09	1.129155e-06	2.551253e-06	1.000000e+00
1.300000e+00	1.955433e-03	1.442922e-07	1.590934e-06	1.523727e-09	2.617760e-07	3.471165e-06	4.611922e-09	1.736750e-06	3.737553e-06	1.000000e+00
1.400000e+00	1.955433e-03	2.419353e-07	2.202183e-06	3.199980e-09	4.352872e-07	4.695274e-06	9.785839e-09	2.447318e-06	5.140347e-06	1.000000e+00
1.500000e+00	1.955433e-03	3.673130e-07	2.809024e-06	5.839633e-09	6.554774e-07	5.836581e-06	1.775893e-08	3.182177e-06	6.509818e-06	1.000000e+00
1.600000e+00	1.955433e-03	5.004609e-07	3.266494e-06	9.202759e-09	8.939906e-07	6.693996e-06	2.795895e-08	3.776158e-06	7.615946e-06	1.000000e+00
1.700000e+00	1.955433e-03	6.962268e-07	3.827038e-06	1.460216e-08	1.273974e-06	7.897838e-06	4.607266e-08	4.537867e-06	9.217885e-06	1.000000e+00
1.800000e+00	1.955433e-03	1.041627e-06	4.562609e-06	2.487265e-08	1.995956e-06	9.572086e-06	8.246029e-08	5.629108e-06	1.165050e-05	1.000000e+00
1.900000e+00	1.955433e-03	1.250323e-06	4.855750e-06	3.227351e-08	2.441033e-06	1.025703e-05	1.088104e-07	6.138346e-06	1.280687e-05	1.000000e+00
2.000000e+00	1.955433e-03	1.655122e-06	5.036197e-06	4.784117e-08	3.433155e-06	1.086878e-05	1.709612e-07	6.739160e-06	1.447290e-05	1.000000e+00
2.100000e+00	1.955433e-03	1.936893e-06	5.625691e-06	5.766667e-08	4.000900e-06	1.235284e-05	2.019251e-07	7.620251e-06	1.655566e-05	1.000000e+00
2.200000e+00	1.955433e-03	2.361323e-06	5.858849e-06	7.633860e-08	5.028285e-06	1.290704e-05	2.736249e-07	8.296510e-06	1.820895e-05	1.000000e+00
2.300000e+00	1.955433e-03	3.237070e-06	6.085404e-06	1.194988e-07	7.213367e-06	1.331158e-05	4.400835e-07	9.441972e-06	2.096503e-05	1.000000e+00
2.400000e+00	1.955433e-03	3.993688e-06	6.711356e-06	1.558461e-07	8.895944e-06	1.468236e-05	5.603111e-07	1.086089e-05	2.413862e-05	1.000000e+00
2.500000e+00	1.955433e-03	4.421751e-06	7.148500e-06	1.780566e-07	9.652695e-06	1.545835e-05	6.161644e-07	1.174831e-05	2.572721e-05	1.000000e+00
