t[i]	area	sgcmfluxint	sghmfluxint	sglmfluxint	trcmfluxint	trhmfluxint	trlmfluxint	mflux_sg_tot	mflux_tr_tot	alphaint/area
1.000000e-01	1.955433e-03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
2.000000e-01	1.955433e-03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
3.000000e-01	1.955433e-03	1.705819e-33	1.156039e-31	5.181113e-36	4.093358e-33	4.079411e-31	3.168013e-35	1.173149e-31	4.120661e-31	1.000000e+00
4.000000e-01	1.955433e-03	4.385240e-24	2.093428e-22	8.244689e-27	1.103864e-23	7.343880e-22	4.314914e-26	2.137363e-22	7.454698e-22	1.000000e+00
5.000000e-01	1.955433e-03	3.694099e-17	1.529238e-15	6.062095e-20	8.723123e-17	4.908945e-15	2.716556e-19	1.566240e-15	4.996448e-15	1.000000e+00
6.000000e-01	1.955433e-03	2.162631e-12	8.720843e-11	3.616527e-15	4.633337e-12	2.482437e-10	1.385828e-14	8.937468e-11	2.528909e-10	1.000000e+00
7.000000e-01	1.955433e-03	1.149023e-10	4.697565e-09	2.035785e-13	2.169312e-10	1.148278e-08	6.464871e-13	4.812671e-09	1.170035e-08	1.000000e+00
8.000000e-01	1.955433e-03	3.079311e-10	1.281309e-08	5.729106e-13	5.156088e-10	2.718847e-08	1.536531e-12	1.312160e-08	2.770561e-08	1.000000e+00
9.000000e-01	1.955433e-03	3.931481e-10	1.675955e-08	7.750396e-13	5.979645e-10	3.214438e-08	1.883210e-12	1.715347e-08	3.274423e-08	1.000000e+00
1.000000e+00	1.955433e-03	6.520608e-10	2.730551e-08	1.640735e-12	1.046574e-09	5.790430e-08	5.086533e-12	2.795921e-08	5.895596e-08	1.000000e+00
1.100000e+00	1.955433e-03	2.527842e-09	8.849341e-08	9.032967e-12	4.147854e-09	1.981981e-07	3.054381e-11	9.103028e-08	2.023765e-07	1.000000e+00
1.200000e+00	1.955433e-03	1.528958e-08	4.103532e-07	8.121601e-11	2.363568e-08	8.759383e-07	2.744821e-10	4.257240e-07	8.998485e-07	1.000000e+00
1.300000e+00	1.955433e-03	5.120764e-08	1.135475e-06	3.433532e-10	7.600683e-08	2.286839e-06	1.108637e-09	1.187026e-06	2.363954e-06	1.000000e+00
1.400000e+00	1.955433e-03	1.613268e-07	2.663039e-06	1.344840e-09	2.398649e-07	5.183062e-06	4.255233e-09	2.825711e-06	5.427182e-06	1.000000e+00
1.500000e+00	1.955433e-03	4.193312e-07	4.994800e-06	4.288224e-09	6.259640e-07	9.388263e-06	1.313119e-08	5.418420e-06	1.002736e-05	1.000000e+00
1.600000e+00	1.955433e-03	9.173181e-07	7.678717e-06	1.141374e-08	1.379620e-06	1.401876e-05	3.369043e-08	8.607448e-06	1.543207e-05	1.000000e+00
1.700000e+00	1.955433e-03	1.723512e-06	9.909693e-06	2.598928e-08	2.658258e-06	1.767281e-05	7.557017e-08	1.165919e-05	2.040664e-05	1.000000e+00
1.800000e+00	1.955433e-03	3.094203e-06	1.135651e-05	5.709823e-08	5.000505e-06	2.005450e-05	1.676700e-07	1.450781e-05	2.522268e-05	1.000000e+00
1.900000e+00	1.955433e-03	4.830688e-06	1.172961e-05	1.063034e-07	8.049508e-06	2.041199e-05	3.101796e-07	1.666660e-05	2.877167e-05	1.000000e+00
2.000000e+00	1.955433e-03	6.938412e-06	1.137206e-05	1.818453e-07	1.205610e-05	1.983363e-05	5.377201e-07	1.849231e-05	3.242745e-05	1.000000e+00
2.100000e+00	1.955433e-03	9.073875e-06	1.089494e-05	2.792285e-07	1.607000e-05	1.897669e-05	8.192626e-07	2.024804e-05	3.586596e-05	1.000000e+00
2.200000e+00	1.955433e-03	1.112751e-05	1.034423e-05	4.160637e-07	2.057407e-05	1.828445e-05	1.276512e-06	2.188780e-05	4.013503e-05	1.000000e+00
2.300000e+00	1.955433e-03	1.311484e-05	1.029799e-05	5.703109e-07	2.368107e-05	1.777120e-05	1.658863e-06	2.398315e-05	4.311113e-05	1.000000e+00
2.400000e+00	1.955433e-03	1.447226e-05	9.774551e-06	7.818568e-07	2.656295e-05	1.686687e-05	2.351922e-06	2.502867e-05	4.578174e-05	1.000000e+00
2.500000e+00	1.955433e-03	1.496585e-05	8.913563e-06	1.021409e-06	2.744188e-05	1.524014e-05	3.079111e-06	2.490082e-05	4.576114e-05	1.000000e+00
2.600000e+00	1.955433e-03	1.582782e-05	8.617580e-06	1.369174e-06	2.858763e-05	1.446430e-05	4.145044e-06	2.581457e-05	4.719697e-05	1.000000e+00
2.700000e+00	1.955433e-03	1.528344e-05	7.891925e-06	1.680020e-06	2.762708e-05	1.336991e-05	5.215717e-06	2.485538e-05	4.621270e-05	1.000000e+00
2.800000e+00	1.955433e-03	1.443844e-05	7.308399e-06	2.032143e-06	2.589583e-05	1.242423e-05	6.431679e-06	2.377898e-05	4.475173e-05	1.000000e+00
2.900000e+00	1.955433e-03	1.326312e-05	6.810540e-06	2.344188e-06	2.380745e-05	1.174048e-05	7.668532e-06	2.241785e-05	4.321646e-05	1.000000e+00
3.000000e+00	1.955433e-03	1.208437e-05	6.595045e-06	2.524673e-06	2.211808e-05	1.178694e-05	8.584667e-06	2.120409e-05	4.248968e-05	1.000000e+00
