t[i]	area	sgcmfluxint	sghmfluxint	sglmfluxint	trcmfluxint	trhmfluxint	trlmfluxint	mflux_sg_tot	mflux_tr_tot	alphaint/area
1.000000e-01	1.955433e-03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00
2.000000e-01	1.955433e-03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	7.141420e-42	0.000000e+00	0.000000e+00	7.141420e-42	1.000000e+00
3.000000e-01	1.955433e-03	1.770109e-34	5.240219e-33	3.191007e-38	1.031097e-33	3.945430e-32	2.629521e-37	5.417262e-33	4.048566e-32	1.000000e+00
4.000000e-01	1.955433e-03	1.060120e-27	5.317457e-26	6.207553e-30	4.486412e-27	2.350293e-25	3.369124e-29	5.424089e-26	2.395494e-25	1.000000e+00
5.000000e-01	1.955433e-03	2.547977e-19	9.223455e-18	1.295974e-21	7.487482e-19	3.432795e-17	6.948678e-21	9.479548e-18	3.508365e-17	1.000000e+00
6.000000e-01	1.955433e-03	2.344575e-12	4.486581e-11	9.359572e-15	6.989273e-12	1.694866e-10	4.700611e-14	4.721974e-11	1.765229e-10	1.000000e+00
7.000000e-01	1.955433e-03	6.390956e-10	1.004144e-08	2.859757e-12	1.693483e-09	3.301140e-08	1.197201e-11	1.068340e-08	3.471685e-08	1.000000e+00
8.000000e-01	1.955433e-03	3.615333e-09	5.349955e-08	1.802761e-11	8.545842e-09	1.543527e-07	6.512343e-11	5.713291e-08	1.629637e-07	1.000000e+00
9.000000e-01	1.955433e-03	1.258684e-08	1.614379e-07	7.746003e-11	2.842559e-08	4.356652e-07	2.751743e-10	1.741022e-07	4.643660e-07	1.000000e+00
1.000000e+00	1.955433e-03	4.325412e-08	4.255245e-07	3.653886e-10	9.878813e-08	1.135859e-06	1.367589e-09	4.691440e-07	1.236014e-06	1.000000e+00
1.100000e+00	1.955433e-03	7.542606e-08	6.918966e-07	7.101775e-10	1.610371e-07	1.716630e-06	2.424722e-09	7.680329e-07	1.880092e-06	1.000000e+00
1.200000e+00	1.955433e-03	1.289472e-07	1.058779e-06	1.371691e-09	2.729808e-07	2.566636e-06	4.690798e-09	1.189098e-06	2.844308e-06	1.000000e+00
1.300000e+00	1.955433e-03	2.458896e-07	1.639495e-06	3.440411e-09	5.206308e-07	3.837606e-06	1.211383e-08	1.888825e-06	4.370351e-06	1.000000e+00
1.400000e+00	1.955433e-03	4.108799e-07	2.222332e-06	7.113757e-09	8.733509e-07	5.031317e-06	2.501202e-08	2.640326e-06	5.929679e-06	1.000000e+00
1.500000e+00	1.955433e-03	5.629576e-07	2.694034e-06	1.104190e-08	1.186583e-06	5.976353e-06	3.774727e-08	3.268034e-06	7.200683e-06	1.000000e+00
1.600000e+00	1.955433e-03	7.814055e-07	3.227627e-06	1.786641e-08	1.674325e-06	7.127049e-06	6.135732e-08	4.026899e-06	8.862731e-06	1.000000e+00
1.700000e+00	1.955433e-03	1.165079e-06	4.234387e-06	3.004307e-08	2.538751e-06	9.477723e-06	1.029694e-07	5.429508e-06	1.211944e-05	1.000000e+00
1.800000e+00	1.955433e-03	1.918477e-06	5.963953e-06	5.442622e-08	4.349871e-06	1.384240e-05	1.916585e-07	7.936856e-06	1.838393e-05	1.000000e+00
1.900000e+00	1.955433e-03	3.198323e-06	7.119471e-06	1.127618e-07	7.312218e-06	1.570194e-05	3.968249e-07	1.043056e-05	2.341099e-05	1.000000e+00
2.000000e+00	1.955433e-03	4.686937e-06	7.753184e-06	1.888525e-07	1.063856e-05	1.685255e-05	6.380915e-07	1.262897e-05	2.812920e-05	1.000000e+00
2.100000e+00	1.955433e-03	5.587041e-06	7.453544e-06	2.545825e-07	1.267825e-05	1.606303e-05	8.508677e-07	1.329517e-05	2.959214e-05	1.000000e+00
2.200000e+00	1.955433e-03	6.542547e-06	6.914960e-06	3.702562e-07	1.526463e-05	1.507207e-05	1.283709e-06	1.382776e-05	3.162041e-05	1.000000e+00
2.300000e+00	1.955433e-03	7.456489e-06	6.824002e-06	4.795996e-07	1.688525e-05	1.460763e-05	1.570974e-06	1.476009e-05	3.306386e-05	1.000000e+00
2.400000e+00	1.955433e-03	8.664061e-06	7.288391e-06	6.534306e-07	1.941758e-05	1.557734e-05	2.126423e-06	1.660588e-05	3.712134e-05	1.000000e+00
2.500000e+00	1.955433e-03	1.014874e-05	7.943345e-06	8.780335e-07	2.226678e-05	1.670355e-05	2.752668e-06	1.897012e-05	4.172300e-05	1.000000e+00
2.600000e+00	1.955433e-03	1.081818e-05	8.082496e-06	1.073600e-06	2.343740e-05	1.686312e-05	3.303771e-06	1.997427e-05	4.360428e-05	1.000000e+00
2.700000e+00	1.955433e-03	1.080273e-05	7.878506e-06	1.252593e-06	2.339122e-05	1.653046e-05	3.857848e-06	1.993383e-05	4.377953e-05	1.000000e+00
